"","Latitude","Longitude","Visibility","Mean Landings","Mean Personal","Mean Pengumpul","Mean Papalele","Mean Market","Mean On-Island","Total Landings","Total Personal","Total Pengumpul","Total Papalele","Total Market","Total On-Island","Proportion Personal","Proportion Pengumpul","Proportion Papalele","Proportion Market","Proportion On-Island","Rugosity","Dead Coral With Algae","Macroalgae","Rubble","Rock","Soft Coral","Sand","All Hard Coral","All Abiotic Substrate","NPP (Mean)","NPP (Min)","NPP (Max)","NPP (SD)","NPP (Interannual SD)","Reef Area within 5km","Wave Energy (Mean)","Wave Energy (SD)","Wave Energy (Interannual SD)","SST SD","SST 50th Percentile","SST 98th Percentile","SST 2nd Percentile","SST Kurtosis","SST Skewness","Population","Fishers","Rowboats","Motorboats"
"Latitude",1,-0.705205047360763,0.495884803552371,-0.492863832297705,-0.275283880160619,-0.421452317841737,-0.44454149270469,-0.47334352973919,-0.478904662220775,-0.285844964695196,0.190716123651276,-0.385047716416757,-0.335956368470473,-0.351618757171506,-0.245919404438456,0.369685899705958,-0.377923817340224,-0.352113525295227,-0.448199331919458,0.0262503566006971,0.0752789290934948,-0.082229896288303,0.0244324475320011,0.54307367841963,-0.164005514441885,-0.694992137040548,0.506872915258666,0.199979736694829,0.568092774205502,-0.304726795905012,-0.386553943333102,-0.158777245635478,-0.0688107732722168,-0.189931027521472,-0.637222939420513,-0.766365595223376,-0.759817006991406,-0.79653958404164,-0.636344069908675,0.210058042993147,-0.0857110411015983,0.833931541138567,-0.863985420681072,0.228856794978445,0.677378495702346,0.682114862204154,0.608811389703755,0.51634393788312
"Longitude",-0.705205047360763,1,-0.594182227785706,0.203040373845835,-0.349648990457206,-0.000270584360025072,0.33930353387914,0.253170568406372,0.273617378726398,-0.212434918620924,-0.733598474330075,-0.0491188960026888,-0.145303730605102,-0.115909961163656,-0.271948773980767,-0.369481240857906,-0.182592369036888,0.3484201767457,0.244524383654488,-0.0304249338076284,0.159524240580399,0.332216796163174,0.038339561228836,-0.250615746994966,-0.224600300195212,0.187248546286098,-0.40952533879973,0.113626877857445,-0.412273111284811,0.0643215129046698,0.0129835948936492,-0.0295163934846315,0.0116972575809176,0.190116631589182,0.319285845509867,0.293944926112139,0.311449083693029,0.326150167286933,0.295386700737854,-0.509730702522261,-0.328622733291186,-0.831687742914704,0.351189762274708,-0.462654602050444,-0.170450088798612,-0.118246902103483,-0.0219359955611857,0.122721939258267
"Visibility",0.495884803552371,-0.594182227785706,1,-0.321264989079914,-0.000400045426270703,-0.125207146092662,-0.387165436088816,-0.331032989330865,-0.377791074292909,0.0259093261208173,0.498137183748031,-0.100312241793303,-0.0329446343022571,-0.0537488269542098,0.073163829501878,0.0937228590202504,0.00414705378600159,-0.281968012485099,-0.249233645254242,-0.224089837654039,-0.205543022643654,-0.284229117182741,-0.178319794751751,0.335830758284571,0.131195558670253,0.0291691525870088,-0.0311998990100071,-0.204995855783626,0.279059479986151,-0.271386224279889,-0.346287554606953,-0.112922268286509,-0.0356642921935709,-0.226504273840046,-0.390309793246057,-0.193272734458032,-0.170764880480143,-0.213184991275765,-0.067837155172158,0.270916533819765,0.412777474935499,0.538788188779696,-0.202730551461374,0.256073919253685,0.348865213466015,0.341020827748655,0.124234654154038,-0.014541571358259
"Mean Landings",-0.492863832297705,0.203040373845835,-0.321264989079914,1,0.300614693381679,0.851678372873191,0.946909711153171,0.992796196951297,0.973183274636055,0.806853609498604,0.363190756595112,0.850811135545967,0.837222145910646,0.842755760473891,0.782972968106975,-0.61889426793611,0.78994412248625,0.588367918176504,0.805570590298499,-0.045273042025104,-0.271459020398508,-0.069554335444206,-0.318566727337382,-0.303328268318055,0.325319949454322,0.241456893544855,-0.320616201154806,-0.00833190073367789,-0.268786903715925,0.504150834571597,0.560430729757359,0.372369397037507,0.194264881039621,0.407010765303875,0.472643243500716,0.459442827842039,0.470086050493588,0.481362950971879,-0.0791650943407001,0.294444632657315,-0.0399539790317177,-0.106427404424743,0.456594183463817,0.071699791884696,-0.54169851235151,-0.547674066821328,-0.464884053946127,-0.409507740878034
"Mean Personal",-0.275283880160619,-0.349648990457206,-0.000400045426270703,0.300614693381679,1,0.401314164902781,0.066193246039298,0.184175779852791,0.228781385450184,0.493276562173556,0.611747493523152,0.413908041191248,0.465689571507946,0.450489072329122,0.518650099040029,0.325897996147276,0.548475907935103,-0.121985142910146,0.0876214163881248,0.248763036587477,-0.122996733688216,-0.24716813265967,0.185217251530037,-0.300309208110932,0.350914360578407,0.349514431744434,0.00526125141501412,-0.188605107148987,-0.131752931333924,0.193126011397452,0.357211449765288,0.123102470811435,-0.0455636664892613,0.0440814633866177,0.209345341096358,0.340039799713739,0.310011708414336,0.342140386969081,0.316394012251996,0.255857852215306,0.102377231039526,-0.0321561461326011,0.435062566102858,0.0179916337481295,-0.44845901704292,-0.624262183793834,-0.826926866843343,-0.865346218945561
"Mean Pengumpul",-0.421452317841737,-0.000270584360025072,-0.125207146092662,0.851678372873191,0.401314164902781,1,0.658445840242151,0.827291198016456,0.708287929869268,0.971553353829701,0.58492576784152,0.998181921264015,0.984451458966956,0.990265670697817,0.952693991812065,-0.396916131906803,0.959870271413504,0.150694718049461,0.477157167598159,-0.300425171456824,-0.323582830948941,-0.24851853422408,-0.186904921108916,-0.246214307592464,0.483977409204177,0.439545710984579,-0.307481226616805,-0.265020339632779,-0.177210422236747,0.556204202818034,0.639928092493631,0.432362840131016,0.228392942687665,0.303564966270074,0.571436679180561,0.563933006939596,0.542138078816563,0.564702144423191,-0.0163476524652016,0.521113539398732,0.127786959983588,-0.00943497129515572,0.547611228732503,0.136502849893974,-0.539537952744047,-0.565290384758004,-0.531067753198407,-0.574175199965926
"Mean Papalele",-0.44454149270469,0.33930353387914,-0.387165436088816,0.946909711153171,0.066193246039298,0.658445840242151,1,0.967532848505689,0.986486598435925,0.593877690120581,0.135327936252581,0.655946805150602,0.634647042923369,0.642229677844718,0.565120589585466,-0.730770612650128,0.566497015555472,0.765080305580672,0.882812273664585,0.0307872857068899,-0.208515133216634,0.0573775600233515,-0.3869222568687,-0.25748223454158,0.172357481940301,0.0767951264177673,-0.305216258610911,0.139473935899183,-0.269205928863092,0.413327172765806,0.425747285980726,0.298881504658871,0.173130921239209,0.417956814472911,0.360242270122029,0.323396028921436,0.352950491876323,0.352961130021639,-0.15519772408265,0.12901932797167,-0.129886498379558,-0.137285300952122,0.310813347643428,0.0345529149536326,-0.429692733108805,-0.396768191032933,-0.263748983607617,-0.161431492562187
"Mean Market",-0.47334352973919,0.253170568406372,-0.331032989330865,0.992796196951297,0.184175779852791,0.827291198016456,0.967532848505689,1,0.974184055473697,0.769543659623041,0.297438882194338,0.824815337641021,0.804305941415848,0.811918249094249,0.741745618471215,-0.678749728991821,0.745182920777399,0.621673685500796,0.819182292023065,-0.0779077652861009,-0.264303548196992,-0.0406292407217305,-0.351570637141409,-0.27487169029617,0.291178137983538,0.204927990667473,-0.331075580122862,0.0151071846831904,-0.260449761606028,0.495296647073814,0.532683116659357,0.368284587720276,0.20592584107715,0.413911737861907,0.460788574286375,0.430766106185101,0.445506910054704,0.45309224693116,-0.12133181451072,0.271300808919304,-0.0540362714913447,-0.105640307551823,0.415893066879617,0.0716308081579692,-0.501915346073958,-0.485988059740482,-0.375207913506981,-0.313312759387746
"Mean On-Island",-0.478904662220775,0.273617378726398,-0.377791074292909,0.973183274636055,0.228781385450184,0.708287929869268,0.986486598435925,0.974184055473697,1,0.660394529039154,0.232478526380149,0.707917768291096,0.695639982628197,0.700541780372043,0.636504985573383,-0.659439485733885,0.642745311162353,0.726395541126338,0.875674748911013,0.070884027198481,-0.223627340254302,0.0153930282856218,-0.347075075479828,-0.300515582292018,0.225775853537759,0.132313673149533,-0.296910423476287,0.105103863080435,-0.284276130315926,0.434960930422393,0.47402138321297,0.311807718505025,0.161427912076619,0.415004263092735,0.385833616793281,0.371346081829101,0.395249258462373,0.400535233530023,-0.0994610606019592,0.167885913107359,-0.109908988826382,-0.139218052596719,0.374673134664609,0.0366646934418943,-0.492853672239213,-0.489599160031665,-0.393101255002215,-0.299587055312657
"Total Landings",-0.285844964695196,-0.212434918620924,0.0259093261208173,0.806853609498604,0.493276562173556,0.971553353829701,0.593877690120581,0.769543659623041,0.660394529039154,1,0.75394861208017,0.982390643794775,0.996888823582928,0.994027826038782,0.997526099502225,-0.349656223018755,0.988153996116934,0.121624655927629,0.461420822789024,-0.277978241899233,-0.386764711451204,-0.268142682365042,-0.236577450510671,-0.215989458404243,0.554188436391378,0.403305380406208,-0.233975488272966,-0.294759068980031,-0.106364878470393,0.498392014595231,0.597175770148884,0.396557635240581,0.184358051376432,0.223883759168866,0.508634960964899,0.500519542694386,0.478735663955963,0.496152476179157,-0.0397141748353479,0.588638998784632,0.234593420798179,0.151187534644405,0.492196178509229,0.245595479590864,-0.518968019936404,-0.558678405817644,-0.554212400470998,-0.615459853089632
