"","Latitude","Longitude","Visibility","Mean Landings","Mean Personal","Mean Pengumpul","Mean Papalele","Mean Market","Mean On-Island","Total Landings","Total Personal","Total Pengumpul","Total Papalele","Total Market","Total On-Island","Proportion Personal","Proportion Pengumpul","Proportion Papalele","Proportion Market","Proportion On-Island","Rugosity","Dead Coral With Algae","Macroalgae","Rubble","Rock","Soft Coral","Sand","All Hard Coral","All Abiotic Substrate","NPP (Mean)","NPP (Min)","NPP (Max)","NPP (SD)","NPP (Interannual SD)","Reef Area within 5km","Wave Energy (Mean)","Wave Energy (SD)","Wave Energy (Interannual SD)","SST SD","SST 50th Percentile","SST 98th Percentile","SST 2nd Percentile","SST Kurtosis","SST Skewness","Population","Fishers","Rowboats","Motorboats"
"Latitude",1,-0.691228070175439,0.531192610987483,-0.532593006959252,-0.204707129130761,-0.475752549035419,-0.550563070317365,-0.550563070317365,-0.550316567922955,-0.224203046190833,-0.0345609438792194,-0.206189191045369,-0.231396073031936,-0.208345123227988,-0.224203046190833,0.270284304696459,-0.452545107619057,-0.403391621569084,-0.406937921538922,0.321661524101489,0.069665878144029,-0.317223688498512,0.0135624756793948,0.548090067273791,-0.231209349618715,-0.610794266785823,0.594713553340023,0.315188883548846,0.574813570035509,-0.721369090945326,-0.565160212370791,-0.280824950246356,-0.0175515593903972,-0.0351031187807945,-0.669591990743654,-0.812280701754386,-0.819298245614035,-0.835087719298246,-0.537955295315675,0.207933392863856,-0.133862786111198,0.798771005111211,-0.846862740586666,0.174638015934452,0.552333397777801,0.552333397777801,0.594720360919574,0.442586370857782
"Longitude",-0.691228070175439,1,-0.618390058017254,0.0921625170112517,-0.308389960768419,-0.149955775305723,0.265085922745398,0.265085922745398,0.31725174125027,-0.334975302213972,-0.583105155705804,-0.349896809046687,-0.291683172519184,-0.314734122323131,-0.334975302213972,-0.324341165635751,-0.173163216722085,0.31650727230805,0.26153962277556,0.107516697282542,0.108467126730577,0.592268049994452,-0.0280291164040827,-0.256478044301197,-0.1740663544658,0.0623080358359102,-0.270807064467332,-0.00965759810316798,-0.366827591259302,0.209741134715247,-0.000877577969519861,-0.0412461645674335,0.0482667883235924,0.151820988726936,0.340500252173706,0.387719298245614,0.426315789473684,0.405263157894737,0.265906124764518,-0.554787802511755,-0.263322191100318,-0.899825642721541,0.367705169228822,-0.429135627095212,0.0359826317770554,0.0539739476655831,-0.0142277598306118,0.183511422062983
"Visibility",0.531192610987483,-0.618390058017254,1,-0.302024942721417,-0.0575285605183651,0.0706205447052151,-0.40018244516161,-0.40018244516161,-0.454835181598324,0.222923172008665,0.350564665658787,0.247171906468253,0.200540865777616,0.222123739224534,0.222923172008665,0.261575173606941,0.0923499430760505,-0.432556755331987,-0.419966745821285,-0.2266788912535,-0.211546924099204,-0.371241022235873,-0.0646575695754738,0.279310609572629,0.115032855174879,0.0596407450931001,0.124777393327109,-0.107311443219433,0.281290678349547,-0.376982918610864,-0.402797569472056,0.183818117339182,0.133969136365844,-0.152662504230846,-0.430837621269559,-0.34434093878083,-0.28294681791293,-0.328325081163117,0.128183093931439,0.298644261770867,0.243871732953408,0.697469627610013,-0.256366187862878,0.0872357167033404,0.146906615956968,0.144169225597521,0.0966927414743133,-0.0465356361105923
"Mean Landings",-0.532593006959252,0.0921625170112517,-0.302024942721417,1,0.555953446732319,0.716880690473746,0.948499871196788,0.948499871196788,0.933751119068935,0.679498657117278,0.523724261414503,0.63933133276212,0.744290267199746,0.72100320709482,0.679498657117278,-0.455684870188004,0.693435535816743,0.742498954883982,0.760412078041617,-0.409337211417918,-0.293544726377853,-0.103865211429689,-0.26032651977785,-0.333198565071882,0.353030815297698,0.341328286784745,-0.519446153299127,-0.156991286636598,-0.316061127892887,0.687089408462799,0.669358068889565,0.240259651217314,-0.187952199476275,0.257104423811886,0.511992430177118,0.43688577775526,0.432454887514335,0.457267872863518,0.0811208785475433,0.271180789627535,0.0329187878494784,-0.10963550095356,0.574052118683435,0.258434274279878,-0.701578178765394,-0.697943058668164,-0.588355038171947,-0.620696756602026
"Mean Personal",-0.204707129130761,-0.308389960768419,-0.0575285605183651,0.555953446732319,1,0.641134806197274,0.283923002048519,0.283923002048519,0.339301700984781,0.554162936436884,0.735004476275739,0.572602815661419,0.5991939696229,0.579489534149501,0.554162936436884,0.28379588182632,0.621296598410579,0.0349305901573888,0.0098522177366994,-0.329444641645562,-0.149222281239121,-0.126946369525175,0.11417829814818,-0.310127559234681,0.292638122366268,0.327143215126158,-0.240500886811472,-0.125060855456273,-0.168891009435049,0.445943190266823,0.531053620218344,0.0877701308875059,-0.335122317934113,-0.0177313395732335,0.223858162112073,0.243698963250906,0.180780321829763,0.198503882793465,0.252228305429247,0.393415870094037,0.118329696864341,0.162899711943144,0.390532754100468,0.307195458106271,-0.712483539057084,-0.757922540272459,-0.734964681234338,-0.793364961220452
"Mean Pengumpul",-0.475752549035419,-0.149955775305723,0.0706205447052151,0.716880690473746,0.641134806197274,1,0.543990800505434,0.543990800505434,0.462590936117021,0.936904449562543,0.853944671545456,0.943687556766576,0.917477021747972,0.91567274048593,0.936904449562543,0.0315607851151963,0.998183469573116,0.132614672760031,0.208394485765763,-0.753172253515489,-0.301951269075166,-0.226223488928502,-0.0561224103072401,-0.222102016317757,0.600695566712332,0.681348048606742,-0.461970979256663,-0.451155844285712,-0.18886646432546,0.656344450492733,0.704565675426893,0.445599837817515,-0.162523387741058,-0.0607230239911644,0.588924034149602,0.584649004912194,0.555193406191427,0.580186035409048,0.387109277943673,0.458280193108315,0.269737627707257,-0.02906032960544,0.699654254368784,0.167434808799167,-0.811008528610597,-0.818331404715433,-0.877339970843299,-0.896136963329316
"Mean Papalele",-0.550563070317365,0.265085922745398,-0.40018244516161,0.948499871196788,0.283923002048519,0.543990800505434,1,1,0.978952180564768,0.532019757781768,0.284818658206401,0.473623831285826,0.596774193548387,0.575268817204301,0.532019757781768,-0.602776594254427,0.52233942536094,0.874551971326165,0.89247311827957,-0.260889746007319,-0.244210265454327,-0.063501616201757,-0.296996548797842,-0.283190286860124,0.255451125774298,0.215532275607226,-0.4946340651663,-0.0913974326043836,-0.306446095565006,0.63329236536444,0.570317914466856,0.217306203801524,-0.093131230200653,0.330837608236605,0.478517130411927,0.394525871644488,0.412257371493679,0.432648596320248,-0.0181827639915561,0.143577322477368,-0.0756581165993059,-0.230914968006389,0.49448248416061,0.141470773495278,-0.519145829901938,-0.501871275141629,-0.387299521085654,-0.396405572394475
"Mean Market",-0.550563070317365,0.265085922745398,-0.40018244516161,0.948499871196788,0.283923002048519,0.543990800505434,1,1,0.978952180564768,0.532019757781768,0.284818658206401,0.473623831285826,0.596774193548387,0.575268817204301,0.532019757781768,-0.602776594254427,0.52233942536094,0.874551971326165,0.89247311827957,-0.260889746007319,-0.244210265454327,-0.063501616201757,-0.296996548797842,-0.283190286860124,0.255451125774298,0.215532275607226,-0.4946340651663,-0.0913974326043836,-0.306446095565006,0.63329236536444,0.570317914466856,0.217306203801524,-0.093131230200653,0.330837608236605,0.478517130411927,0.394525871644488,0.412257371493679,0.432648596320248,-0.0181827639915561,0.143577322477368,-0.0756581165993059,-0.230914968006389,0.49448248416061,0.141470773495278,-0.519145829901938,-0.501871275141629,-0.387299521085654,-0.396405572394475
"Mean On-Island",-0.550316567922955,0.31725174125027,-0.454835181598324,0.933751119068935,0.339301700984781,0.462590936117021,0.978952180564768,0.978952180564768,1,0.435989256938227,0.213965980304387,0.377827684664779,0.529332789308122,0.498880479940142,0.435989256938227,-0.566696508504924,0.431931887719401,0.889386564776591,0.871473441618956,-0.157092131574859,-0.163476349894798,-0.0035509473993056,-0.274027915555631,-0.332311218693528,0.170076480828954,0.135644747735236,-0.490836382377317,-0.00798260779508127,-0.353296940996678,0.598432710596631,0.51864168251708,0.151602953351147,-0.111707439311371,0.390089470611137,0.395852155972438,0.330544411973047,0.347381794888564,0.361560643659526,-0.0155149221265793,0.05387397990931,-0.164593939247392,-0.263213975973528,0.438407370948199,0.0926462492701451,-0.481653412882978,-0.474383172688518,-0.353587962679884,-0.358968109601465
"Total Landings",-0.224203046190833,-0.334975302213972,0.222923172008665,0.679498657117278,0.554162936436884,0.936904449562543,0.532019757781768,0.532019757781768,0.435989256938227,1,0.906893464637422,0.992812126052319,0.981639149038413,0.988804398301467,1,0.0743061772605192,0.944118343303159,0.148678922208373,0.231079288733495,-0.64183356614871,-0.287308571340994,-0.380839108575525,-0.10413060791114,-0.0749807689709029,0.628350444838042,0.477859601498643,-0.362092413229168,-0.377843435633847,-0.0261537258705194,0.49204467315723,0.593113308724661,0.398068573419092,-0.141850716585868,-0.0886566978661675,0.401171557844408,0.326999699780306,0.308389960768419,0.331430590021232,0.25932084125854,0.538287076572854,0.196623030127965,0.181542185789499,0.472096916137342,0.113923856758025,-0.643416257209714,-0.643416257209714,-0.709092391282151,-0.780642040880147
